Campaign,Ad Group,Keyword,Match Type,Final URL,Notes
OC | Fire Features — Core,Pool Fire Bowls,pool fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Pool Fire Bowls,pool fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Pool Fire Bowls,fire bowls for pool,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Pool Fire Bowls,fire bowls for pool,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Pool Fire Bowls,fire bowls for swimming pool,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Pool Fire Bowls,fire bowls for swimming pool,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Pool Fire Bowls,pool fire features,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Pool Fire Bowls,pool fire features,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Pool Fire Bowls,swimming pool fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Pool Fire Bowls,swimming pool fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Pool Fire Bowls,fire bowls on pool wall,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Pool Fire Bowls,fire bowls on pool wall,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Pool Fire Bowls,pool fire pit bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Pool Fire Bowls,pool fire pit bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Pool Fire Bowls,fire bowls for pool deck,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Pool Fire Bowls,fire bowls for pool deck,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire & Water Bowls,fire and water bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire & Water Bowls,fire and water bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire & Water Bowls,fire and water features,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire & Water Bowls,fire and water features,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire & Water Bowls,fire and water bowls for pool,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire & Water Bowls,fire and water bowls for pool,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire & Water Bowls,fire water bowl,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire & Water Bowls,fire water bowl,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire & Water Bowls,pool fire and water features,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire & Water Bowls,pool fire and water features,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire & Water Bowls,fire and water scupper bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire & Water Bowls,fire and water scupper bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire & Water Bowls,water and fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire & Water Bowls,water and fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Bowls (Generic),fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Bowls (Generic),fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Bowls (Generic),outdoor fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Bowls (Generic),outdoor fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Bowls (Generic),modern fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Bowls (Generic),modern fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Bowls (Generic),gas fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Bowls (Generic),gas fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Bowls (Generic),concrete fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Bowls (Generic),concrete fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Bowls (Generic),copper fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Bowls (Generic),copper fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Bowls (Generic),GFRC fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Bowls (Generic),GFRC fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Bowls (Generic),stainless steel fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Bowls (Generic),stainless steel fire bowls,Exact,https://fire-bowls.vercel.app/,
OC | Fire Features — Core,Fire Bowls (Generic),round fire bowls,Phrase,https://fire-bowls.vercel.app/,County-level location targeting; city not in keyword
OC | Fire Features — Core,Fire Bowls (Generic),round fire bowls,Exact,https://fire-bowls.vercel.app/,
